日期,主力净流入:净额,小单净流入:净额,中单净流入:净额,大单净流入:净额,超大单净流入:净额,主力净占比,小单净占比,中单净占比,大单净占比,超大单净占比,收盘价,涨跌幅
2022/10/13,-2370063,8650035,-6279972,-633557,-1736506,-1.63,5.94,-4.31,-0.44,-1.19,7.41,-0.27
2022/10/14,6905666,-10514620,3608953,2918796,3986870,3.99,-6.07,2.08,1.69,2.3,7.49,1.08
2022/10/17,-3994157,4104769,-110611,-2395187,-1598970,-3.01,3.1,-0.08,-1.81,-1.21,7.45,-0.53
2022/10/18,-1722288,-6006388,7728675,-6249991,4527703,-0.94,-3.26,4.2,-3.39,2.46,7.48,0.4
2022/10/19,-28950173,16827471,12122703,-14714430,-14235743,-19.64,11.42,8.23,-9.98,-9.66,7.29,-2.54
2022/10/20,-2518923,-217690,2736613,4157288,-6676211,-2.15,-0.19,2.33,3.54,-5.69,7.26,-0.41
2022/10/21,-6270531,-971725,7242256,-650956,-5619575,-6.12,-0.95,7.07,-0.64,-5.48,7.23,-0.41
2022/10/24,18958199,-19552032,593832,-5590177,24548376,4.24,-4.37,0.13,-1.25,5.49,7.41,2.49
2022/10/25,-7194387,1272581,5921806,-2456130,-4738257,-3.01,0.53,2.48,-1.03,-1.98,7.27,-1.89
2022/10/26,22049030,-21923660,-125369,10685633,11363397,10.33,-10.27,-0.06,5.01,5.32,7.49,3.03
2022/10/27,-6481303,-6622322,13103626,-26921119,20439816,-1.78,-1.81,3.59,-7.38,5.6,7.61,1.6
2022/10/28,-1595034,-7273663,8868697,7481029,-9076063,-0.47,-2.14,2.61,2.21,-2.68,7.52,-1.18
2022/10/31,-4112247,-5414274,9526520,7978688,-12090935,-1.93,-2.54,4.47,3.74,-5.67,7.45,-0.93
2022/11/1,11001973,-12665833,1663860,24233377,-13231404,5.88,-6.77,0.89,12.95,-7.07,7.6,2.01
2022/11/2,-2452845,1679705,773140,-6505432,4052587,-1.03,0.7,0.32,-2.73,1.7,7.68,1.05
2022/11/3,-8596092,6452400,2143691,6576603,-15172695,-4.34,3.26,1.08,3.32,-7.66,7.68,0
2022/11/4,-4056952,4377110,-320158,4542853,-8599805,-2.01,2.17,-0.16,2.25,-4.27,7.7,0.26
2022/11/7,-12080087,-5973415,18053503,4647311,-16727398,-3.97,-1.96,5.93,1.53,-5.49,7.78,1.04
2022/11/8,-9365047,-4796634,14161681,-27078358,17713311,-2.25,-1.15,3.41,-6.52,4.26,7.9,1.54
2022/11/9,-26422389,2784348,23638041,-8623374,-17799015,-4.19,0.44,3.75,-1.37,-2.83,8.04,1.77
2022/11/10,13293608,-17187659,3894050,17827675,-4534067,5.49,-7.09,1.61,7.36,-1.87,7.99,-0.62
2022/11/11,-40238388,30964687,9273701,-7452797,-32785591,-6.16,4.74,1.42,-1.14,-5.02,8.2,2.63
2022/11/14,-12588321,-7888504,20476826,-10851368,-1736953,-3.32,-2.08,5.4,-2.86,-0.46,8.02,-2.2
2022/11/15,14017602,-8997355,-5020248,9748685,4268917,6.02,-3.86,-2.16,4.19,1.83,7.99,-0.37
