f3,f12,f14,f62,f66,f184,f204,f205,f206
290,BK0737,软件开发,2681144064.0,1981444352.0,425,三六零,601360,1
242,BK0735,计算机设备,1949159200.0,1576629280.0,662,浪潮信息,000977,0
275,BK0447,互联网服务,1889456896.0,1113659904.0,372,中国软件,600536,1
248,BK0736,通信服务,1370180096.0,1687865600.0,577,中国联通,600050,1
131,BK0448,通信设备,1152284880.0,642802896.0,375,中兴通讯,000063,0
127,BK0477,酿酒行业,871471968.0,380185504.0,497,贵州茅台,600519,1
78,BK0425,工程建设,533798384.0,777156848.0,276,中国建筑,601668,1
156,BK0464,石油行业,502074688.0,506624608.0,727,中国石化,600028,1
441,BK0732,贵金属,498218800.0,356941616.0,533,紫金矿业,601899,1
172,BK0422,物流行业,291152032.0,291324192.0,337,顺丰控股,002352,0
104,BK0738,多元金融,290123840.0,562372512.0,651,中油资本,000617,0
45,BK0437,煤炭行业,135306816.0,123255312.0,216,中国神华,601088,1
151,BK0734,珠宝首饰,65336295.0,45615271.0,392,明牌珠宝,002574,0
67,BK0433,农牧饲渔,28515728.0,43278464.0,28,新五丰,600975,1
239,BK1017,采掘行业,25048532.0,58592548.0,90,贝肯能源,002828,0
146,BK1046,游戏,18673312.0,69179568.0,18,浙数文化,600633,1
129,BK0474,保险,6595008.0,59211424.0,20,中国人寿,601628,1
50,BK0470,造纸印刷,3700736.0,6769728.0,11,鸿博股份,002229,0
177,BK0485,旅游酒店,440912.0,60998032.0,1,西域旅游,300859,0
-12,BK0476,装修建材,-7237596.0,-3402188.0,-14,东方雨虹,002271,0
77,BK0421,铁路公路,-8676356.0,-10342669.0,-64,海汽集团,603069,1
-5,BK0440,家用轻工,-8822835.0,7421772.0,-68,晨光股份,603899,1
183,BK0420,航空机场,-12445426.0,-55844578.0,-43,白云机场,600004,1
115,BK1042,医药商业,-17676017.0,79504831.0,-51,上海医药,601607,1
78,BK0740,教育,-30066487.0,-36333111.0,-143,创业黑马,300688,0
-6,BK0726,工程咨询服务,-33146098.0,38901998.0,-73,中钢国际,000928,0
77,BK0450,航运港口,-35767264.0,-9936080.0,-71,招商南油,601975,1
39,BK1039,电子化学品,-49745296.0,24339792.0,-75,南大光电,300346,0
-82,BK0427,公用事业,-55065835.0,-30345006.0,-595,洪城环境,600461,1
-61,BK0733,包装材料,-56241335.0,-19086116.0,-468,新通联,603022,1
-35,BK1043,专业服务,-59717754.0,-28627098.0,-249,零点有数,301169,0
-92,BK1045,房地产服务,-80732186.0,-37633079.0,-1138,国创高新,002377,0
-39,BK0725,装修装饰,-91387356.0,-29182540.0,-333,名家汇,300506,0
-10,BK1028,燃气,-95340728.0,-28194198.0,-780,新奥股份,600803,1
-22,BK0539,综合行业,-96842652.0,-30222908.0,-456,常山北明,000158,0
47,BK0729,船舶制造,-99844160.0,-90592080.0,-308,中船科技,600072,1
-11,BK0424,水泥建材,-115924814.0,-78498478.0,-372,华新水泥,600801,1
80,BK0486,文化传媒,-135828496.0,-22123536.0,-64,蓝色光标,300058,0
4,BK0482,商业百货,-135830974.0,-49903742.0,-288,小商品城,600415,1
-37,BK1034,电源设备,-136723474.0,-63735986.0,-371,科华数据,002335,0
-3,BK0429,交运设备,-137244064.0,16285024.0,-287,科安达,002972,0
-4,BK1035,美容护理,-144467998.0,-87888350.0,-491,丸美股份,603983,1
-25,BK0739,工程机械,-144899552.0,14377120.0,-278,铁建重工,688425,1
31,BK0456,家电行业,-145600688.0,43055936.0,-116,美的集团,000333,0
4,BK0436,纺织服装,-149976448.0,-63768176.0,-300,欣贺股份,003016,0
45,BK0479,钢铁行业,-151814544.0,-112464752.0,-299,宝钢股份,600019,1
-46,BK1018,橡胶制品,-152346483.0,-74145811.0,-529,海南橡胶,601118,1
66,BK0458,仪器仪表,-155130192.0,-96550768.0,-237,禾川科技,688320,1
-6,BK1030,电机,-163328331.0,-61940011.0,-821,鸣志电器,603728,1
-66,BK1020,非金属材料,-164736784.0,-53288128.0,-484,石英股份,603688,1
40,BK0484,贸易行业,-174600000.0,-51162512.0,-425,厦门国贸,600755,1
-47,BK0546,玻璃玻纤,-179502190.0,-72678334.0,-756,南  玻Ａ,000012,0
-51,BK0454,塑料制品,-186537806.0,-59693022.0,-500,N通达,001368,0
40,BK0438,食品饮料,-187299040.0,-147615472.0,-164,安琪酵母,600298,1
1,BK0480,航天航空,-196956144.0,-84135296.0,-209,中国卫星,600118,1
-32,BK0471,化纤行业,-204806090.0,-84209642.0,-706,吉林化纤,000420,0
-26,BK0730,农药兽药,-219952605.0,-125335917.0,-711,诺 普 信,002215,0
-291,BK1016,汽车服务,-275290765.0,-172212909.0,-1082,浩物股份,000757,0
193,BK1040,中药,-279601904.0,-26372368.0,-185,方盛制药,603998,1
-95,BK0731,化肥行业,-282985008.0,-113880720.0,-649,亚钾国际,000893,0
32,BK0473,证券,-290330864.0,-161967280.0,-284,中信证券,600030,1
-14,BK1037,消费电子,-296142080.0,-57498032.0,-195,工业富联,601138,1
24,BK0478,有色金属,-309909056.0,-213681152.0,-313,西部矿业,601168,1
-94,BK0728,环保行业,-310999899.0,-118326907.0,-500,聚光科技,300203,0
-67,BK1019,化学原料,-317842512.0,-139583648.0,-526,华鲁恒升,600426,1
39,BK1027,小金属,-337448160.0,-179293568.0,-484,厦门钨业,600549,1
-40,BK1032,风电设备,-383114086.0,-263079046.0,-1128,天顺风能,002531,0
7,BK0475,银行,-411048144.0,-84140416.0,-307,工商银行,601398,1
-84,BK1044,生物制品,-441818976.0,-257558896.0,-605,百克生物,688276,1
-6,BK0545,通用设备,-447449504.0,-44631696.0,-343,埃斯顿,002747,0
-12,BK0428,电力行业,-479455408.0,-357363856.0,-496,三峡水利,600116,1
-57,BK0727,医疗服务,-556045616.0,-305935008.0,-584,嘉和美康,688246,1
-13,BK0457,电网设备,-565270128.0,-70818080.0,-349,特变电工,600089,1
-93,BK1041,医疗器械,-617941984.0,-259106160.0,-552,中红医疗,300981,0
-38,BK0451,房地产开发,-723154192.0,-346258560.0,-713,万通发展,600246,1
