股票代码,名称,得分,总市值（亿）
300750,宁德时代,832.9184837545131,9574.66
002594,比亚迪,541.7416239545772,7001.01
601012,隆基绿能,533.840253716551,3183.48
600188,兖矿能源,490.1634879761653,1623.17
002714,牧原股份,466.1502264927934,2622.32
600900,长江电力,435.954006968641,4955.2
601088,中国神华,399.429583066068,5765.84
300014,亿纬锂能,364.21112252705205,1376.36
600438,通威股份,357.56257234726667,1793.58
002812,恩捷股份,355.7901216685979,982.55
600048,保利发展,293.7380397893506,1690.23
002466,天齐锂业,286.5732991967871,1264.07
688271,联影医疗,275.1630617223712,1343.05
002049,紫光国微,273.01523684210525,899.4
603260,合盛硅业,261.34496326944196,1052.4
300760,迈瑞医疗,238.30455848484863,3746.57
300274,阳光电源,226.50809962813776,1654.65
688599,天合光能,214.73925207756244,1230.49
300751,迈为股份,205.46081390663676,592.64
002460,赣锋锂业,203.96930555555565,1357.51
600887,伊利股份,202.2293365646773,1885.76
600760,中航沈飞,201.6909478536445,1114.76
300498,温氏股份,197.0740503432495,1196.13
600522,中天科技,185.28556165540542,520.47
601127,赛力斯,175.96705827592626,544.11
300763,锦浪科技,170.71706589933493,602.77
300957,贝泰妮,167.1870749067902,498.24
601225,陕西煤业,167.18044506258695,1907.98
601238,广汽集团,165.57134387351775,1132.15
002241,歌尔股份,161.73775933609957,696.05
601689,拓普集团,160.8579037433155,605.24
688223,晶科能源,153.11915887850475,1542.0
603613,国联股份,152.5064885496183,389.55
688063,派能科技,149.72062398052978,455.22
001979,招商蛇口,143.65711276332098,1083.47
300450,先导智能,142.3407157814582,639.62
605117,德业股份,140.3000929624883,779.9
601898,中煤能源,129.5087576374745,1156.16
601991,大唐发电,124.62467532467534,551.5
002459,晶澳科技,122.55697247706428,1406.18
603606,东方电缆,121.14008561421714,342.83
300122,智飞生物,117.32221063607925,1406.4
002756,永兴材料,116.82649762405545,359.21
600256,广汇能源,114.59667485667492,663.14
002475,立讯精密,114.3380983606557,2051.36
002142,宁波银行,112.81300977418267,1839.1
002709,天赐材料,111.9980439287194,799.56
600926,杭州银行,111.81641468682504,690.28
002920,德赛西威,110.841786770428,576.18
688234,天岳先进,108.78983241733489,309.05
688122,西部超导,106.67045454545458,402.0
002179,中航光电,106.17351981351973,929.56
603659,璞泰来,105.32644091223221,680.39
600905,三峡能源,104.33285234899321,1594.42
688114,华大智造,103.31952158693119,392.37
300529,健帆生物,101.84713463751439,248.61
603185,上机数控,98.48963146704462,453.85
000625,长安汽车,97.37082817337465,1175.73
603259,药明康德,97.32666626213611,2338.11
600795,国电电力,96.7716079295154,697.37
600233,圆通速递,95.45446348061317,651.44
300769,德方纳米,94.5206939210807,360.72
600026,中远海能,93.86220532319385,771.43
000301,东方盛虹,91.96373115577885,950.69
002001,新 和 成,91.1190875912409,569.04
600487,亨通光电,88.04409090909088,361.13
000002,万  科Ａ,86.52187951807245,1889.82
002240,盛新锂能,84.47597348798674,326.28
688032,禾迈股份,81.9788601122775,435.69
688363,华熙生物,80.53501133101676,542.28
600348,华阳股份,79.5748674443266,350.65
300390,天华超净,77.97852687069852,335.76
603799,华友钴业,77.918949579832,904.62
601009,南京银行,77.27772770853313,995.07
000733,振华科技,76.22396683250409,538.84
002120,韵达股份,75.74692592592592,375.26
601615,明阳智能,75.29090086830682,540.53
603290,斯达半导,74.9036790968816,464.42
603568,伟明环保,72.7468120115179,317.5
300595,欧普康视,72.28483678160919,293.32
600884,杉杉股份,72.15660047281325,390.31
601799,星宇股份,71.94982197856355,374.73
300850,新强联,71.57707718501703,162.65
002738,中矿资源,71.00257288548937,325.63
300207,欣旺达,70.99567039106142,379.35
300699,光威复材,70.41152258225951,324.38
600027,华电国际,69.37298937784522,571.46
600104,上汽集团,67.24160435078194,1648.54
600236,桂冠电力,67.09375,450.87
000876,新 希 望,66.89205941931128,596.79
688303,大全能源,66.37868897101718,1027.87
002074,国轩高科,66.18564326604394,514.45
000983,山西焦煤,66.04643764002986,622.79
301327,华宝新能,64.21826176470587,147.23
001289,龙源电力,64.17324019344444,1492.83
601838,成都银行,62.9205115089514,512.54
300776,帝尔激光,62.16013671318713,211.6
603596,伯特利,61.02356714839618,271.78
003022,联泓新科,59.645074013157874,417.63
600383,金地集团,59.048904109589074,391.87
300919,中伟股份,58.4903427866831,477.22
600660,福耀玻璃,57.46732315112544,912.63
600862,中航高科,56.98370329670331,310.51
002487,大金重工,55.923703547297286,227.93
688385,复旦微电,54.37415517023163,585.3
301035,润丰股份,53.5522066869301,200.44
603876,鼎胜新材,52.57889502762429,194.22
688700,东威科技,52.22498305084747,155.97
