股票代码,名称,得分,总市值(亿)
688555,*ST泽达,70.90711886753795,5.59
001337,四川黄金,67.97257590597452,101.18
688086,*ST紫晶,56.29377045401467,6.95
300225,金力泰,45.64449821946626,37.47
300576,容大感光,41.76070883366257,79.49
300273,*ST和佳,37.87312064539787,20.22
300058,蓝色光标,36.71842556063124,198.29
300297,*ST蓝盾,36.357592798448096,16.25
002751,*ST易尚,34.6617166530517,12.1
300309,*ST吉艾,34.57045334358926,11.34
000150,*ST宜康,34.19077864031992,9.22
836239,长虹能源,33.59075912054455,30.74
300538,同益股份,33.57276556276439,26.69
300912,凯龙高科,33.18390581338825,33.64
600246,万通发展,33.070162553858204,145.63
300778,新城市,32.885675220689755,33.17
301110,青木股份,32.541288737717316,31.52
688368,晶丰明源,31.346440446724575,99.95
603061,金海通,31.20554765291607,82.21
688699,明微电子,30.91848201451875,61.22
001366,播恩集团,29.918032786885245,34.47
301182,凯旺科技,29.561158115797426,20.95
600110,诺德股份,29.37916428707405,142.63
870436,大地电气,29.37833714721586,6.2
688233,神工股份,29.353879780567112,74.66
300785,值得买,29.34675390586619,59.42
688608,恒玄科技,29.325651383142024,157.0
002089,*ST新海,29.236298292902067,14.16
000890,法尔胜,29.12065069077263,26.26
688380,中微半导,29.116807532621593,126.24
688388,嘉元科技,28.97647002672776,133.08
600781,*ST辅仁,28.93831269568161,7.53
688222,成都先导,28.9366706839769,68.6
688185,康希诺,28.805065207982278,296.94
300031,宝通科技,28.692873474176118,74.9
600306,ST商城,28.571832371554844,19.52
301138,华研精机,28.530514106025098,30.17
301111,粤万年青,28.32555721784111,35.12
688798,艾为电子,28.17157006931963,191.08
603501,韦尔股份,28.135839626451137,994.35
688225,亚信安全,28.02773031855816,99.4
301127,天源环保,27.967770847778436,44.31
300981,中红医疗,27.865380717446243,68.4
688356,键凯科技,27.793538555986753,103.1
000038,*ST大通,27.711792252022136,21.59
832145,恒合股份,27.60317892599836,3.49
300307,慈星股份,27.577197480630964,47.53
301206,三元生物,27.551137287519026,69.58
002417,*ST深南,27.538673031603118,7.92
002157,正邦科技,27.523663560179845,104.14
002699,ST美盛,27.484700122399026,29.47
301288,清研环境,27.27178683784704,20.06
600139,*ST西源,27.269921436588103,4.9
688772,珠海冠宇,27.205820066122257,211.02
688739,成大生物,26.884021857558352,138.18
300919,中伟股份,26.768852749908227,462.4
300931,通用电梯,26.67227132698011,20.63
605358,立昂微,26.506289264089414,322.25
600136,ST明诚,26.466962524654836,21.11
301201,诚达药业,26.441789438654432,44.69
430090,同辉信息,26.441231710471566,5.3
832171,志晟信息,26.27776774426585,4.24
603010,万盛股份,26.236276062968756,78.77
300392,*ST腾信,26.047155984454243,11.79
688155,先惠技术,26.043353837978824,40.7
688595,芯海科技,26.029396531439783,62.79
002177,*ST御银,25.995625497102598,23.29
301113,雅艺科技,25.984048121305882,19.1
688613,奥精医疗,25.894107683672797,36.11
002241,歌尔股份,25.848163666580835,683.05
688163,赛伦生物,25.82466523194643,25.79
688328,深科达,25.77152381642602,20.54
300089,*ST文化,25.762637937802584,10.54
688087,英科再生,25.749988259657005,54.75
002781,*ST奇信,25.74692075296305,7.63
300800,力合科技,25.73567749926324,31.49
603897,长城科技,25.68630165272276,42.11
000626,远大控股,25.64388467498679,45.75
603048,浙江黎明,25.584947395186006,25.72
688536,思瑞浦,25.56150868713506,301.75
603005,晶方科技,25.37733547726539,163.89
301177,迪阿股份,25.376854481746825,197.92
300219,鸿利智汇,25.298315044672304,52.74
600071,凤凰光学,25.282921112574225,59.44
301228,实朴检测,25.158685828278305,19.73
688619,罗普特,25.114053397455038,33.23
300971,博亚精工,25.113060208124022,21.57
835174,五新隧装,25.10236822806193,6.94
600466,蓝光发展,25.085116731517502,31.87
300774,倍杰特,25.05312569902236,51.42
600745,闻泰科技,25.02703268769345,613.33
003039,顺控发展,24.97995729507928,120.17
300671,富满微,24.89518409373721,113.09
301222,浙江恒威,24.678002393166487,27.82
301215,中汽股份,24.629822092731327,81.33
688330,宏力达,24.570599471054944,65.02
688002,睿创微纳,24.563442649119338,213.73
301036,双乐股份,24.542951923462716,20.51
002326,永太科技,24.47734552932974,182.76
301123,奕东电子,24.277111203244583,56.04
837212,智新电子,24.2104814924383,7.29
301128,强瑞技术,24.172353940782415,22.15
300336,*ST新文,24.14984604858022,14.19
688148,芳源股份,24.035071674699388,69.27
836149,旭杰科技,24.015779217693,2.84
688788,科思科技,23.969395816132376,47.27
688508,芯朋微,23.94051414630585,86.35
601127,赛力斯,23.937663920689022,580.64
300171,东富龙,23.83885017062871,197.19
300655,晶瑞电材,23.82217668673668,107.97
430510,丰光精密,23.811232177763497,11.97
430198,微创光电,23.776605146142263,7.57
002810,山东赫达,23.72719335200681,76.74
301229,纽泰格,23.66911016317349,22.78
871981,晶赛科技,23.643654932615718,9.47
688006,杭可科技,23.61636024359727,192.17
688023,安恒信息,23.604891319516366,157.02
300471,厚普股份,23.598492234313007,48.64
000004,ST国华,23.490984612479938,12.94
301190,善水科技,23.44937988840428,40.7
300027,华谊兄弟,23.434869446100123,78.52
688339,亿华通-U,23.429374970773942,96.88
301080,百普赛斯,23.424888464354638,96.17
603160,汇顶科技,23.401300868371152,250.06
301186,超达装备,23.397388560687435,22.45
300985,致远新能,23.391111470576007,30.55
301116,益客食品,23.370104296990093,70.0
688029,南微医学,23.361794899973262,149.28
688018,乐鑫科技,23.320386647572956,94.19
300578,会畅通讯,23.291824177553874,39.83
300805,电声股份,23.290975246705994,32.33
300782,卓胜微,23.26801473192153,672.86
000889,ST中嘉,23.25,18.07
833523,德瑞锂电,23.204321252183625,10.23
301166,优宁维,23.176080907146016,41.85
300964,本川智能,23.160541183008146,47.93
600532,*ST未来,23.143819678226137,65.54
601121,宝地矿业,23.137876386687807,73.84
833454,同心传动,23.064262814272553,6.05
300920,润阳科技,23.037669070932562,17.96
688272,富吉瑞,23.026665478436264,17.24
603557,ST起步,23.014627831715217,14.58
300961,深水海纳,23.01210782820591,20.05
688173,希荻微,22.991445257798183,97.89
688682,霍莱沃,22.919502274073324,52.62
002742,ST三圣,22.908986272618012,19.05
688036,传音控股,22.860919863249297,715.52
000537,广宇发展,22.858323357275875,228.53
301118,恒光股份,22.84233451668307,33.22
603192,汇得科技,22.841335861243152,29.81
301026,浩通科技,22.826556923415552,44.6
600703,三安光电,22.795014258428893,973.86
600318,新力金融,22.752780481086212,34.81
002236,大华股份,22.722345045241923,527.47
002821,凯莱英,22.687618046931913,491.1
837821,则成电子,22.63644409907497,6.25
300768,迪普科技,22.627092031084995,116.08
871396,常辅股份,22.60887611749681,4.09
836720,吉冈精密,22.608550860187623,11.69
839946,华阳变速,22.599813487206397,3.98
603650,彤程新材,22.583738854509594,228.14
300368,汇金股份,22.563191748114427,39.52
