0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2022-10-13,-2370063.0,8650035.0,-6279972.0,-633557.0,-1736506.0,-1.63,5.94,-4.31,-0.44,-1.19,7.41,-0.27,0.00,0.00
2022-10-14,6905666.0,-10514620.0,3608953.0,2918796.0,3986870.0,3.99,-6.07,2.08,1.69,2.30,7.49,1.08,0.00,0.00
2022-10-17,-3994157.0,4104769.0,-110611.0,-2395187.0,-1598970.0,-3.01,3.10,-0.08,-1.81,-1.21,7.45,-0.53,0.00,0.00
2022-10-18,-1722288.0,-6006388.0,7728675.0,-6249991.0,4527703.0,-0.94,-3.26,4.20,-3.39,2.46,7.48,0.40,0.00,0.00
2022-10-19,-28950173.0,16827471.0,12122703.0,-14714430.0,-14235743.0,-19.64,11.42,8.23,-9.98,-9.66,7.29,-2.54,0.00,0.00
2022-10-20,-2518923.0,-217690.0,2736613.0,4157288.0,-6676211.0,-2.15,-0.19,2.33,3.54,-5.69,7.26,-0.41,0.00,0.00
2022-10-21,-6270531.0,-971725.0,7242256.0,-650956.0,-5619575.0,-6.12,-0.95,7.07,-0.64,-5.48,7.23,-0.41,0.00,0.00
2022-10-24,18958199.0,-19552032.0,593832.0,-5590177.0,24548376.0,4.24,-4.37,0.13,-1.25,5.49,7.41,2.49,0.00,0.00
2022-10-25,-7194387.0,1272581.0,5921806.0,-2456130.0,-4738257.0,-3.01,0.53,2.48,-1.03,-1.98,7.27,-1.89,0.00,0.00
2022-10-26,22049030.0,-21923660.0,-125369.0,10685633.0,11363397.0,10.33,-10.27,-0.06,5.01,5.32,7.49,3.03,0.00,0.00
2022-10-27,-6481303.0,-6622322.0,13103626.0,-26921119.0,20439816.0,-1.78,-1.81,3.59,-7.38,5.60,7.61,1.60,0.00,0.00
2022-10-28,-1595034.0,-7273663.0,8868697.0,7481029.0,-9076063.0,-0.47,-2.14,2.61,2.21,-2.68,7.52,-1.18,0.00,0.00
2022-10-31,-4112247.0,-5414274.0,9526520.0,7978688.0,-12090935.0,-1.93,-2.54,4.47,3.74,-5.67,7.45,-0.93,0.00,0.00
2022-11-01,11001973.0,-12665833.0,1663860.0,24233377.0,-13231404.0,5.88,-6.77,0.89,12.95,-7.07,7.60,2.01,0.00,0.00
2022-11-02,-2452845.0,1679705.0,773140.0,-6505432.0,4052587.0,-1.03,0.70,0.32,-2.73,1.70,7.68,1.05,0.00,0.00
2022-11-03,-8596092.0,6452400.0,2143691.0,6576603.0,-15172695.0,-4.34,3.26,1.08,3.32,-7.66,7.68,0.00,0.00,0.00
2022-11-04,-4056952.0,4377110.0,-320158.0,4542853.0,-8599805.0,-2.01,2.17,-0.16,2.25,-4.27,7.70,0.26,0.00,0.00
2022-11-07,-12080087.0,-5973415.0,18053503.0,4647311.0,-16727398.0,-3.97,-1.96,5.93,1.53,-5.49,7.78,1.04,0.00,0.00
2022-11-08,-9365047.0,-4796634.0,14161681.0,-27078358.0,17713311.0,-2.25,-1.15,3.41,-6.52,4.26,7.90,1.54,0.00,0.00
2022-11-09,-26422389.0,2784348.0,23638041.0,-8623374.0,-17799015.0,-4.19,0.44,3.75,-1.37,-2.83,8.04,1.77,0.00,0.00
2022-11-10,13293608.0,-17187659.0,3894050.0,17827675.0,-4534067.0,5.49,-7.09,1.61,7.36,-1.87,7.99,-0.62,0.00,0.00
2022-11-11,-40238388.0,30964687.0,9273701.0,-7452797.0,-32785591.0,-6.16,4.74,1.42,-1.14,-5.02,8.20,2.63,0.00,0.00
2022-11-14,-12588321.0,-7888504.0,20476826.0,-10851368.0,-1736953.0,-3.32,-2.08,5.40,-2.86,-0.46,8.02,-2.20,0.00,0.00
2022-11-15,14017602.0,-8997355.0,-5020248.0,9748685.0,4268917.0,6.02,-3.86,-2.16,4.19,1.83,7.99,-0.37,0.00,0.00
2022-11-16,-2725932.0,-9114446.0,11840378.0,-9175750.0,6449818.0,-0.85,-2.84,3.69,-2.86,2.01,8.02,0.38,0.00,0.00
2022-11-17,-12895088.0,19404155.0,-6509067.0,-14322623.0,1427535.0,-6.75,10.16,-3.41,-7.50,0.75,7.94,-1.00,0.00,0.00
2022-11-18,-3121250.0,7115782.0,-3994531.0,4704662.0,-7825912.0,-2.00,4.57,-2.56,3.02,-5.02,7.83,-1.39,0.00,0.00
2022-11-21,2034015.0,-7949516.0,5915500.0,14480742.0,-12446727.0,1.24,-4.84,3.60,8.82,-7.58,7.80,-0.38,0.00,0.00
2022-11-22,9950004.0,2940043.0,-12890047.0,-5173769.0,15123773.0,6.07,1.79,-7.86,-3.16,9.23,7.79,-0.13,0.00,0.00
2022-11-23,-4081664.0,4614394.0,-532730.0,-4824697.0,743033.0,-2.71,3.07,-0.35,-3.21,0.49,7.81,0.26,0.00,0.00
2022-11-24,10031941.0,-7167726.0,-2864215.0,1717208.0,8314733.0,3.75,-2.68,-1.07,0.64,3.11,7.91,1.28,0.00,0.00
2022-11-25,14616254.0,1324373.0,-15940627.0,-15011196.0,29627450.0,3.53,0.32,-3.86,-3.63,7.17,8.10,2.40,0.00,0.00
2022-11-28,-23116232.0,8909332.0,14206900.0,-4137372.0,-18978860.0,-7.58,2.92,4.66,-1.36,-6.22,8.10,0.00,0.00,0.00
