最新价,5日涨跌幅,股票代码,股票名称,主力净流入,所属板块,10日涨跌,主力净占比
28.58,43.98,603073,N彩蝶,30095225.0,纺织服装,43.98,97.25
28.51,9.99,603282,亚光股份,14012436.0,专用设备,58.39,90.5
0.321,0.31,900917,海欣Ｂ股,32188.0,化学制药,-1.83,61.59
5.1,-0.2,200726,鲁  泰Ｂ,310880.0,纺织服装,-4.49,55.15
9.23,10.01,601121,宝地矿业,6907990.0,钢铁行业,110.73,50.4
9.49,9.97,603789,星光农机,18587821.0,专用设备,6.63,49.64
24.09,10.0,001337,四川黄金,4601840.0,贵金属,61.14,46.07
68.06,2.53,603039,ST泛微,9432891.0,软件开发,8.62,37.94
2.54,0.4,600462,ST九有,863586.0,通信设备,0.4,36.81
24.1,0.08,301361,众智科技,2088962.0,电网设备,-3.25,33.5
21.45,10.0,001366,播恩集团,119972097.0,农牧饲渔,32.08,32.88
37.27,-0.27,688370,丛麟科技,745883.0,环保行业,-1.04,30.39
2.03,0.0,002470,ST金正,3311515.0,化肥行业,-1.46,30.07
16.86,-0.77,600265,ST景谷,516365.0,农牧饲渔,0.48,29.47
4.53,1.57,601398,工商银行,278484967.0,银行,3.42,28.65
21.99,10.01,603153,上海建科,15448788.0,工程咨询服务,91.72,28.42
5.34,4.91,002358,ST森源,7039722.0,电网设备,2.5,28.04
28.33,-0.39,688069,德林海,752079.0,环保行业,-2.98,28.01
2.73,0.0,600439,瑞贝卡,3209782.0,家用轻工,-2.85,27.86
7.12,0.14,600738,丽尚国潮,23519416.0,商业百货,0.85,27.48
15.03,-0.4,603848,好太太,1866951.0,家用轻工,-6.93,26.68
3.15,0.64,600611,大众交通,2505418.0,铁路公路,-0.94,26.16
29.06,1.18,603398,沐邦高科,13491743.0,家用轻工,0.14,25.52
17.66,-0.51,605088,冠盛股份,2065010.0,汽车零部件,-4.39,25.38
12.8,0.79,603997,继峰股份,7002485.0,汽车零部件,-4.19,25.07
12.29,0.08,000668,荣丰控股,777056.0,房地产开发,-2.31,25.03
48.67,-0.67,688265,南模生物,428809.0,生物制品,-3.01,24.74
7.02,0.14,603839,安正时尚,2126719.0,纺织服装,-3.57,24.73
1.78,-0.56,600568,ST中珠,764415.0,综合行业,-2.2,24.37
21.33,0.09,688067,爱威科技,591513.0,医疗器械,-1.25,24.28
18.76,-0.37,603568,伟明环保,5272806.0,环保行业,-0.42,24.17
81.4,0.04,688029,南微医学,6240114.0,医疗器械,-2.13,23.96
117.36,-0.56,603737,三棵树,5391302.0,装修建材,-0.55,23.77
2.49,0.0,000839,ST国安,2412911.0,综合行业,-0.8,23.67
9.43,6.92,000670,盈方微,311208875.0,半导体,12.53,23.31
1.77,0.57,300336,*ST新文,543790.0,文化传媒,-4.84,22.84
15.35,3.37,600998,九州通,16899093.0,医药商业,5.86,22.56
43.55,0.23,300915,海融科技,1851999.0,食品饮料,0.11,22.13
154.75,-1.55,301031,中熔电气,5517238.0,电网设备,-5.28,21.98
2.93,2.09,002076,*ST雪莱,5578764.0,家电行业,-1.35,21.83
9.4,1.73,600114,东睦股份,7463416.0,通用设备,-0.21,21.71
8.97,-0.44,300626,华瑞股份,1332904.0,电机,-0.11,21.36
3.44,-0.58,600166,福田汽车,13952433.0,汽车整车,-2.82,21.25
19.61,0.72,300575,中旗股份,2584929.0,农药兽药,0.51,20.87
18.4,-0.7,002838,道恩股份,4522856.0,塑料制品,0.05,20.82
